"TID","TARGET_TYPE","PREF_NAME","TAX_ID","ORGANISM","CHEMBL_ID","SPECIES_GROUP_FLAG"
12702,"SINGLE PROTEIN","Thiopurine S-methyltransferase",9606,"Homo sapiens","CHEMBL2500",
10402,"SINGLE PROTEIN","Bradykinin B2 receptor",10116,"Rattus norvegicus","CHEMBL2501",
10405,"SINGLE PROTEIN","Prostaglandin E synthase",9913,"Bos taurus","CHEMBL2502",
10412,"SINGLE PROTEIN","NADH-ubiquinone oxidoreductase subunit B14.7",9913,"Bos taurus","CHEMBL2503",
10416,"SINGLE PROTEIN","Glutathione S-transferase Mu 2",10116,"Rattus norvegicus","CHEMBL2504",
10424,"SINGLE PROTEIN","Protein phosphatase 2A regulatory subunit B'",9606,"Homo sapiens","CHEMBL2505",
10427,"SINGLE PROTEIN","PI3-kinase p85-alpha subunit",9606,"Homo sapiens","CHEMBL2506",
10480,"SINGLE PROTEIN","Cyclin-dependent kinase 6",9606,"Homo sapiens","CHEMBL2508",
10851,"SINGLE PROTEIN","Phenylalanyl-tRNA synthetase mitochondrial",9606,"Homo sapiens","CHEMBL2511",
10486,"SINGLE PROTEIN","Neurotensin receptor 2",9606,"Homo sapiens","CHEMBL2514",
10489,"SINGLE PROTEIN","Calcium sensing receptor",10116,"Rattus norvegicus","CHEMBL2516",
10493,"SINGLE PROTEIN","Cathepsin F",9606,"Homo sapiens","CHEMBL2517",
10732,"SINGLE PROTEIN","AICAR transformylase",9606,"Homo sapiens","CHEMBL2518",
10734,"SINGLE PROTEIN","Neutral alpha-glucosidase AB",9606,"Homo sapiens","CHEMBL2519",
10736,"SINGLE PROTEIN","Neutral alpha-glucosidase C ",9606,"Homo sapiens","CHEMBL2520",
10675,"SINGLE PROTEIN","Beta-galactosidase",9606,"Homo sapiens","CHEMBL2522",
10689,"SINGLE PROTEIN","ADAM17",10116,"Rattus norvegicus","CHEMBL2523",
10693,"SINGLE PROTEIN","Alpha-galactosidase A",9606,"Homo sapiens","CHEMBL2524",
10674,"SINGLE PROTEIN","Beta secretase 2",9606,"Homo sapiens","CHEMBL2525",
10701,"SINGLE PROTEIN","Methionine aminopeptidase 1",559292,"Saccharomyces cerevisiae S288c","CHEMBL2526",
10531,"SINGLE PROTEIN","Serine/threonine-protein kinase Chk2",9606,"Homo sapiens","CHEMBL2527",
10533,"SINGLE PROTEIN","Butyrylcholinesterase",10090,"Mus musculus","CHEMBL2528",
10513,"SINGLE PROTEIN","Voltage-gated L-type calcium channel alpha-1C subunit",10090,"Mus musculus","CHEMBL2529",
10536,"SINGLE PROTEIN","P2X purinoceptor 1",10116,"Rattus norvegicus","CHEMBL2530",
10537,"SINGLE PROTEIN","P2X purinoceptor 2",9606,"Homo sapiens","CHEMBL2531",
10946,"SINGLE PROTEIN","Multidrug resistance-associated protein 1",10090,"Mus musculus","CHEMBL2532",
10612,"SINGLE PROTEIN","3-phosphoinositide dependent protein kinase-1",9606,"Homo sapiens","CHEMBL2534",
11173,"SINGLE PROTEIN","Glucose transporter",9606,"Homo sapiens","CHEMBL2535",
10845,"SINGLE PROTEIN","Phospholipase D1",9606,"Homo sapiens","CHEMBL2536",
12860,"SINGLE PROTEIN","Potassium-transporting ATPase beta chain",9823,"Sus scrofa","CHEMBL2538",
13008,"SINGLE PROTEIN","Deoxyhypusine synthase",10116,"Rattus norvegicus","CHEMBL2539",
19688,"SINGLE PROTEIN","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase",83333,"Escherichia coli K-12","CHEMBL2540",
11303,"SINGLE PROTEIN","Methylenetetrahydrofolate dehydrogenase",9606,"Homo sapiens","CHEMBL2541",
11629,"SINGLE PROTEIN","Casein kinase I gamma 2",9606,"Homo sapiens","CHEMBL2543",
11316,"SINGLE PROTEIN","Peptidyl-glycine alpha-amidating monooxygenase ",9606,"Homo sapiens","CHEMBL2544",
12510,"SINGLE PROTEIN","Selectin E",10090,"Mus musculus","CHEMBL2545",
12839,"SINGLE PROTEIN","Small conductance calcium-activated potassium channel protein 2",10116,"Rattus norvegicus","CHEMBL2547",
12169,"SINGLE PROTEIN","Neuropeptide Y receptor type 5",10116,"Rattus norvegicus","CHEMBL2548",
19610,"SINGLE PROTEIN","Penicillin-binding protein 4",1280,"Staphylococcus aureus","CHEMBL2549",
10926,"SINGLE PROTEIN","Carboxypeptidase B",9606,"Homo sapiens","CHEMBL2552",
10932,"SINGLE PROTEIN","Selectin E",10116,"Rattus norvegicus","CHEMBL2554",
10792,"SINGLE PROTEIN","Thymidylate synthase",83333,"Escherichia coli K-12","CHEMBL2555",
11150,"SINGLE PROTEIN","Death-associated protein kinase 1",9606,"Homo sapiens","CHEMBL2558",
10874,"SINGLE PROTEIN","Dipeptidyl peptidase IV",9913,"Bos taurus","CHEMBL2559",
10876,"SINGLE PROTEIN","Protein kinase C delta",10090,"Mus musculus","CHEMBL2560",
12283,"SINGLE PROTEIN","Histone deacetylase 5",9606,"Homo sapiens","CHEMBL2563",
12476,"SINGLE PROTEIN","Metabotropic glutamate receptor 5",10116,"Rattus norvegicus","CHEMBL2564",
19601,"SINGLE PROTEIN","Penicillin-binding protein 2b",1280,"Staphylococcus aureus","CHEMBL2565",
12487,"SINGLE PROTEIN","Melatonin receptor 1B",10116,"Rattus norvegicus","CHEMBL2566",
12504,"SINGLE PROTEIN","Protein kinase C alpha ",10090,"Mus musculus","CHEMBL2567",
11442,"SINGLE PROTEIN","Liver glycogen phosphorylase",9606,"Homo sapiens","CHEMBL2568",
11452,"SINGLE PROTEIN","Microsomal triglyceride transfer protein large subunit",9606,"Homo sapiens","CHEMBL2569",
11458,"SINGLE PROTEIN","Deoxycytidine kinase",10090,"Mus musculus","CHEMBL2570",
12502,"SINGLE PROTEIN","P-glycoprotein 3",10090,"Mus musculus","CHEMBL2573",
10086,"SINGLE PROTEIN","Dopamine D4 receptor",10090,"Mus musculus","CHEMBL2574",
10095,"SINGLE PROTEIN","Dihydrofolate reductase",9031,"Gallus gallus","CHEMBL2575",
10096,"SINGLE PROTEIN","Dihydrofolate reductase",559292,"Saccharomyces cerevisiae S288c","CHEMBL2576",
11097,"SINGLE PROTEIN","Sodium/hydrogen exchanger 1",10116,"Rattus norvegicus","CHEMBL2577",
10109,"SINGLE PROTEIN","Scytalone dehydratase ",242507,"Magnaporthe oryzae (strain 70-15 / FGSC 8958) (Rice blast fungus)(Pyricularia oryzae)","CHEMBL2578",
10003,"SINGLE PROTEIN","Cathepsin D",9606,"Homo sapiens","CHEMBL2581",
10007,"SINGLE PROTEIN","Cyclin A2",9606,"Homo sapiens","CHEMBL2582",
10021,"SINGLE PROTEIN","Serotonin 2b (5-HT2b) receptor",10090,"Mus musculus","CHEMBL2583",
10023,"SINGLE PROTEIN","Neuronal acetylcholine receptor protein alpha-2 subunit",10116,"Rattus norvegicus","CHEMBL2584",
